id,title,release_date,vote_average,vote_count,popularity,runtime,budget,revenue,original_language,genres,director,actor_principal,grupo
9357,One Hour Photo,2002-08-21,6.664,1927,8.4908,96,12000000,52223306,en,"Drama, Thriller",Mark Romanek,Robin Williams,regular
1729,The Forbidden Kingdom,2008-04-17,6.639,1928,6.719,104,55000000,127906624,en,"Action, Adventure, Fantasy",Rob Minkoff,Jackie Chan,regular
9955,Blades of Glory,2007-03-30,6.123,1927,3.5494,93,53000000,118200000,en,Comedy,Will Speck,Will Ferrell,regular
9725,Friday the 13th Part 2,1981-05-01,6.2,1926,4.952,86,1250000,21724205,en,"Horror, Thriller",Steve Miner,Russell Todd,regular
286554,Two Night Stand,2014-09-26,6.415,1925,1.5734,86,1645000,868081,en,"Romance, Comedy",Max Nichols,Lio Tipton,regular
244458,The Voices,2014-01-19,6.256,1923,2.6352,104,11000000,2243672,en,"Comedy, Crime, Horror, Fantasy",Marjane Satrapi,Ryan Reynolds,regular
13971,Wild Child,2008-08-15,6.7,1924,7.2449,98,20000000,22000000,en,"Comedy, Drama, Romance",Nick Moore,Emma Roberts,regular
646207,The Ice Road,2021-06-24,6.754,1923,3.623,108,40000000,7502846,en,"Action, Thriller",Jonathan Hensleigh,Liam Neeson,regular
6171,Dreamcatcher,2003-03-21,5.6,1922,3.2612,134,68000000,81240206,en,"Drama, Horror, Science Fiction, Thriller",Lawrence Kasdan,Thomas Jane,regular
1038392,The Conjuring: Last Rites,2025-09-03,6.938,1923,31.9973,136,55000000,499256445,en,Horror,Michael Chaves,Patrick Wilson,regular
85889,Filth,2013-09-23,6.836,1921,2.3738,97,5000000,9114264,en,"Crime, Drama, Comedy",Jon S. Baird,James McAvoy,regular
1647,The Recruit,2003-01-31,6.387,1920,2.8473,115,46000000,101200000,en,"Action, Thriller",Roger Donaldson,Colin Farrell,regular
724209,Heart of Stone,2023-08-09,6.717,1918,4.2166,122,0,0,en,"Action, Crime, Thriller",Tom Harper,Gal Gadot,regular
9072,Little Man,2006-08-31,5.95,1917,10.0122,98,64000000,104003322,en,"Comedy, Crime",Keenen Ivory Wayans,Marlon Wayans,regular
9718,Talladega Nights: The Ballad of Ricky Bobby,2006-08-04,6.376,1916,5.2051,108,72500000,163000000,en,Comedy,Adam McKay,Will Ferrell,regular
553604,Honest Thief,2020-09-03,6.472,1910,3.5757,99,0,31220247,en,"Thriller, Action, Crime",Mark Williams,Liam Neeson,regular
82505,House at the End of the Street,2012-09-21,5.797,1911,3.3997,101,6900000,44287131,en,"Horror, Thriller",Mark Tonderai,Jennifer Lawrence,regular
326359,Frozen Fever,2015-03-09,6.832,1909,3.0469,8,0,0,en,"Animation, Family, Adventure, Comedy",Jennifer Lee,Kristen Bell,regular
13600,City of Ember,2008-10-07,6.362,1908,4.0804,95,55000000,17869048,en,"Adventure, Family, Fantasy",Gil Kenan,Saoirse Ronan,regular
2332,Taxi 2,2000-03-25,6.278,1908,3.1293,82,10500000,64433844,fr,"Action, Comedy, Adventure, Crime",Gérard Krawczyk,Samy Naceri,regular
299054,Expend4bles,2023-09-15,6.058,1907,9.6235,103,100000000,37917985,en,"Action, Adventure, Thriller",Scott Waugh,Jason Statham,regular
22824,The Fourth Kind,2009-11-05,6.367,1905,5.2151,98,10000000,47709193,en,"Mystery, Science Fiction, Thriller",Olatunde Osunsanmi,Milla Jovovich,regular
11820,Mona Lisa Smile,2003-12-19,6.911,1905,3.2233,117,72300000,141337989,en,"Drama, History, Romance",Mike Newell,Julia Roberts,regular
9437,Kiss the Girls,1997-09-29,6.539,1903,4.2819,115,27000000,60527873,en,"Thriller, Crime, Mystery, Drama",Gary Fleder,Morgan Freeman,regular
13813,Defiance,2008-12-31,6.847,1900,2.504,137,32000000,51155219,en,"Action, Drama, History, War",Edward Zwick,Daniel Craig,regular
283350,Before We Go,2014-09-04,6.745,1898,2.3509,95,0,37151,en,"Romance, Drama, Comedy",Chris Evans,Chris Evans,regular
22825,The Box,2009-10-29,5.634,1898,3.806,115,30000000,33333531,en,"Thriller, Science Fiction",Richard Kelly,Cameron Diaz,regular
9531,Superman III,1983-06-17,5.515,1896,4.7838,125,39000000,80250623,en,"Comedy, Science Fiction, Action, Adventure",Richard Lester,Christopher Reeve,regular
241257,Regression,2015-10-01,5.58,1895,2.7266,106,20000000,17671101,en,"Horror, Mystery, Thriller",Alejandro Amenábar,Ethan Hawke,regular
787752,Fresh,2022-03-03,6.955,1893,5.078,114,1500000,0,en,"Horror, Thriller, Comedy",Mimi Cave,Daisy Edgar-Jones,regular
302156,Criminal,2016-04-07,6.204,1891,3.7964,113,31500000,14708696,en,"Action, Crime, Science Fiction",Ariel Vromen,Kevin Costner,regular
71688,The Iron Lady,2011-12-26,6.357,1891,2.9108,105,13000000,115890792,en,"History, Drama",Phyllida Lloyd,Meryl Streep,regular
3432,Mr. Brooks,2007-05-31,6.922,1889,2.6494,120,20000000,48443734,en,"Crime, Thriller",Bruce A. Evans,Kevin Costner,regular
77953,The Campaign,2012-08-09,5.835,1887,3.5386,85,95000000,104907746,en,Comedy,Jay Roach,Will Ferrell,regular
28211,Chloe,2010-02-25,6.137,1886,3.6753,96,14000000,13657649,en,"Drama, Thriller, Mystery",Atom Egoyan,Amanda Seyfried,regular
61012,Silent Hill: Revelation 3D,2012-10-10,5.542,1881,6.3208,94,20000000,55975672,en,"Thriller, Horror, Mystery",MJ Bassett,Adelaide Clemens,regular
11371,The Score,2001-07-13,6.707,1881,4.284,124,68000000,113579918,en,"Action, Crime, Thriller, Mystery, Drama",Frank Oz,Robert De Niro,regular
8489,Ali,2001-12-10,6.752,1881,2.5778,157,107000000,87812729,en,Drama,Michael Mann,Will Smith,regular
486131,Shaft,2019-06-14,6.527,1881,3.1757,111,30000000,21360215,en,"Action, Crime, Comedy, Mystery",Tim Story,Samuel L. Jackson,regular
445629,Fighting with My Family,2019-02-14,6.844,1881,2.2059,108,11000000,39055536,en,Comedy,Stephen Merchant,Florence Pugh,regular
441701,Veronica,2017-08-25,6.242,1878,3.6095,105,0,0,es,Horror,Paco Plaza,Sandra Escacena,regular
136418,Hummingbird,2013-05-07,6.171,1878,5.1045,100,20000000,8352885,en,"Action, Thriller",Steven Knight,Jason Statham,regular
8689,Cannibal Holocaust,1980-02-07,6.257,1878,9.1735,95,100000,2000000,it,Horror,Ruggero Deodato,Robert Kerman,regular
1825,Over the Top,1987-02-13,6.458,1872,4.3962,94,25000000,16057580,en,"Action, Drama",Menahem Golan,Sylvester Stallone,regular
48415,Welcome to the South,2010-10-01,6.7,1871,1.2699,102,4000000,65584679,it,Comedy,Luca Miniero,Claudio Bisio,regular
9353,Nacho Libre,2006-06-16,6.523,1872,5.8832,92,35000000,99255460,en,"Comedy, Action, Family",Jared Hess,Jack Black,regular
329440,The Forest,2016-01-07,5.237,1871,2.8894,93,10000000,37608299,en,"Horror, Thriller, Mystery",Jason Zada,Natalie Dormer,regular
213681,Masterminds,2016-09-29,5.753,1870,2.7499,95,25000000,29200000,en,"Action, Comedy, Crime",Jared Hess,Zach Galifianakis,regular
9348,Species,1995-07-07,5.988,1872,5.0822,108,35000000,113400000,en,"Science Fiction, Horror, Action",Roger Donaldson,Natasha Henstridge,regular
264999,Magic Mike XXL,2015-07-01,6.14,1869,3.0688,115,14800000,117800000,en,"Comedy, Drama",Gregory Jacobs,Channing Tatum,regular
407451,A Wrinkle in Time,2018-03-08,5.055,1866,2.3965,109,103000000,132675864,en,"Adventure, Science Fiction, Family, Fantasy",Ava DuVernay,Storm Reid,regular
578701,Those Who Wish Me Dead,2021-05-05,6.603,1863,6.0441,100,20000000,23384502,en,"Thriller, Action",Taylor Sheridan,Angelina Jolie,regular
1588,Bring It On,2000-08-25,6.3,1863,3.2426,99,28000000,90449929,en,Comedy,Peyton Reed,Kirsten Dunst,regular
4421,G.I. Jane,1997-08-19,6.479,1862,4.2308,125,50000000,48169156,en,"Action, Drama, War",Ridley Scott,Demi Moore,regular
551804,Freaky,2020-11-12,6.56,1860,2.3492,102,6000000,18073433,en,"Horror, Comedy",Christopher Landon,Kathryn Newton,regular
425972,Cargo,2017-10-06,6.404,1860,2.0972,105,0,56385,en,"Drama, Thriller, Horror",Yolanda Ramke,Martin Freeman,regular
76494,What to Expect When You're Expecting,2012-05-17,6.001,1861,2.4191,110,40000000,79700000,en,"Romance, Comedy, Drama",Kirk Jones,Jennifer Lopez,regular
623491,The Babysitter: Killer Queen,2020-09-10,6.319,1859,3.7876,101,0,0,en,"Comedy, Horror",McG,Judah Lewis,regular
242095,The Signal,2014-03-15,6.022,1857,3.9148,97,4000000,2665322,en,"Thriller, Science Fiction",William Eubank,Brenton Thwaites,regular
829557,365 Days: This Day,2022-04-26,5.9,1853,21.5597,110,0,0,pl,"Romance, Drama",Barbara Białowąs,Anna-Maria Sieklucka,regular
7516,Smokin' Aces,2006-12-09,6.484,1844,4.3197,109,17000000,57103895,en,"Action, Comedy, Crime",Joe Carnahan,Ryan Reynolds,regular
296100,The Night Before,2015-11-20,6.09,1843,2.3395,101,25000000,52395996,en,"Comedy, Adventure, Fantasy",Jonathan Levine,Joseph Gordon-Levitt,regular
62206,30 Minutes or Less,2011-08-11,5.777,1842,3.1297,83,28000000,40500000,en,"Action, Adventure, Comedy",Ruben Fleischer,Jesse Eisenberg,regular
26123,American Pie Presents: The Book of Love,2009-12-02,5.253,1843,4.5954,93,8000000,5021219,en,Comedy,John Putch,Bug Hall,regular
774825,The Ice Age Adventures of Buck Wild,2022-01-28,6.567,1840,8.4294,82,0,0,en,"Animation, Comedy, Family, Adventure",John C. Donkin,Simon Pegg,regular
10495,The Karate Kid Part III,1989-06-16,5.924,1840,2.7604,112,12500000,38956288,en,"Action, Family, Drama, Adventure",John G. Avildsen,Ralph Macchio,regular
664469,Amsterdam,2022-09-27,6.065,1839,2.9856,134,80000000,31245810,en,"Mystery, Comedy, Drama",David O. Russell,Christian Bale,regular
151960,Planes,2013-08-09,5.933,1838,4.8106,91,50000000,219788712,en,"Animation, Family, Adventure, Comedy",Klay Hall,Dane Cook,regular
9563,Any Given Sunday,1999-12-22,6.829,1833,3.6496,163,55000000,100230832,en,Drama,Oliver Stone,Al Pacino,regular
8952,I Love You Phillip Morris,2010-02-04,6.412,1832,1.9077,98,13000000,20768906,en,"Comedy, Crime, Drama, Romance",John Requa,Jim Carrey,regular
4349,The Kingdom,2007-08-22,6.735,1834,3.4968,110,70000000,86658558,en,"Thriller, Action, Drama",Peter Berg,Jamie Foxx,regular
10153,Sphere,1998-02-13,6.143,1833,3.5539,134,80000000,37020277,en,"Science Fiction, Mystery, Thriller",Barry Levinson,Dustin Hoffman,regular
416234,Winchester,2018-02-02,5.886,1831,2.8462,100,3500000,44019588,en,"Horror, Thriller",Peter Spierig,Helen Mirren,regular
9869,Patriot Games,1992-06-04,6.682,1832,3.6652,117,45000000,178051587,en,"Drama, Action, Thriller, Crime",Phillip Noyce,Harrison Ford,regular
13836,Race to Witch Mountain,2009-03-13,5.799,1830,3.2809,98,50000000,106387141,en,"Adventure, Family, Fantasy, Science Fiction, Thriller, Action",Andy Fickman,Dwayne Johnson,regular
181283,Child 44,2015-03-15,6.283,1827,3.9391,137,50000000,12951093,en,"Crime, Thriller",Daniel Espinosa,Tom Hardy,regular
76617,Texas Chainsaw 3D,2013-01-03,5.487,1827,5.6254,92,20000000,47340586,en,"Horror, Thriller",John Luessenhop,Alexandra Daddario,regular
11351,Jeepers Creepers 2,2003-08-08,6.181,1825,5.8565,104,17000000,63102666,en,Horror,Victor Salva,Travis Schiffner,regular
716612,Spencer,2021-11-04,6.722,1825,2.653,116,18000000,25246967,en,Drama,Pablo Larraín,Kristen Stewart,regular
499701,Dora and the Lost City of Gold,2019-08-08,6.625,1826,4.4769,102,49000000,120600000,en,"Family, Comedy, Adventure",James Bobin,Isabela Merced,regular
325789,The Infiltrator,2016-07-13,6.678,1825,3.0768,127,28000000,21011110,en,"Crime, Drama, Thriller",Brad Furman,Bryan Cranston,regular
203739,Vampire Academy,2014-02-07,6.318,1824,3.1566,104,30000000,15391979,en,"Comedy, Action, Fantasy",Mark Waters,Zoey Deutch,regular
55846,Blitz,2011-05-20,6.18,1826,4.4565,97,15774948,15800000,en,"Crime, Action, Thriller",Elliott Lester,Jason Statham,regular
2018,The Wedding Planner,2001-01-26,5.9,1821,2.3915,103,35000000,94700000,en,"Comedy, Romance",Adam Shankman,Jennifer Lopez,regular
395458,Suburbicon,2017-10-26,5.894,1820,2.4594,105,25000000,12751667,en,"Thriller, Crime, Drama, Mystery",George Clooney,Matt Damon,regular
55420,Another Earth,2011-07-22,6.724,1819,2.4358,92,100000,1938783,en,"Drama, Science Fiction",Mike Cahill,Brit Marling,regular
12783,The Duchess,2008-09-05,6.982,1820,4.1217,110,17759769,43306325,en,"Drama, History, Romance",Saul Dibb,Keira Knightley,regular
11808,U.S. Marshals,1998-03-06,6.542,1820,4.7582,131,60000000,102367405,en,"Thriller, Crime, Action",Stuart Baird,Tommy Lee Jones,regular
846,The X-Files,1998-06-19,6.91,1819,4.8858,121,66000000,189198313,en,"Mystery, Science Fiction, Thriller",Rob Bowman,David Duchovny,regular
44603,Hereafter,2010-10-22,6.1,1818,2.5994,129,50000000,107000000,en,"Drama, Fantasy",Clint Eastwood,Matt Damon,regular
11683,Land of the Dead,2005-06-18,6.261,1818,3.8807,93,15000000,47074133,en,"Horror, Science Fiction, Thriller",George A. Romero,Simon Baker,regular
11017,Billy Madison,1995-02-10,6.191,1819,4.8837,90,10000000,26488734,en,Comedy,Tamra Davis,Adam Sandler,regular
1852,World Trade Center,2006-08-09,6.129,1818,2.2619,129,65000000,163200000,en,"Drama, History, Thriller",Oliver Stone,Nicolas Cage,regular
9529,Candyman,1992-10-16,6.671,1815,4.1014,100,6000000,25792310,en,"Drama, Horror, Thriller",Bernard Rose,Virginia Madsen,regular
9386,In the Line of Fire,1993-07-08,6.975,1814,3.6971,128,40000000,177000000,en,"Action, Drama, Thriller, Crime, Mystery",Wolfgang Petersen,Clint Eastwood,regular
238215,The Cobbler,2014-09-11,5.867,1812,3.106,99,10000000,6500000,en,"Fantasy, Comedy, Drama",Tom McCarthy,Adam Sandler,regular
10588,The Cat in the Hat,2003-11-21,5.314,1812,5.8836,82,109000000,133800000,en,"Family, Comedy, Adventure, Fantasy",Bo Welch,Mike Myers,regular
7288,Duplex,2003-09-26,6.11,1813,3.0227,89,40000000,19322135,en,Comedy,Danny DeVito,Ben Stiller,regular
170687,The Boxtrolls,2014-09-10,6.719,1811,5.9891,97,60000000,108255770,en,"Animation, Comedy, Family, Fantasy",Graham Annable,Ben Kingsley,regular
10761,Made of Honor,2008-04-30,6.465,1811,3.6579,101,40000000,106407672,en,"Comedy, Romance",Paul Weiland,Patrick Dempsey,regular
10033,Just Friends,2005-11-23,6.207,1811,3.4103,94,0,50817508,en,"Comedy, Romance",Roger Kumble,Ryan Reynolds,regular
80389,Get the Gringo,2012-03-15,6.604,1811,2.9191,96,35000000,8826837,en,"Action, Thriller, Crime, Drama",Adrian Grünberg,Mel Gibson,regular
2142,Cop Land,1997-08-15,6.811,1810,3.5612,104,15000000,63706632,en,"Crime, Drama, Thriller",James Mangold,Sylvester Stallone,regular
24253,The Girl Who Played with Fire,2009-09-18,7.0,1808,2.9324,129,4400000,67126795,sv,"Drama, Action, Thriller, Crime, Mystery",Daniel Alfredson,Michael Nyqvist,regular
11675,Halloween H20: 20 Years Later,1998-08-05,6.048,1809,4.1328,86,17000000,75041738,en,"Horror, Thriller",Steve Miner,Jamie Lee Curtis,regular
